,hab,agglomerative_cluster
1497,сантить,0
1498,vert,1
1499,timevizor,1
1500,fairbear,0
1501,materialise,0
1502,www,1
1503,globatel,0
1504,dider,1
1505,ilkfinkom,0
1506,smartreading,0
1507,ua,1
1508,hgst,0
1509,swarm,0
1510,geometria,0
1511,button,0
1512,quickme,0
1513,zte,0
1514,kidmastermind,0
1515,cetrine,0
1516,braingems,0
1517,fast,1
1518,rookee,0
1519,lane,2
1520,acer,0
1521,gitfund,0
1522,nimax,0
1523,broadcaster,1
1524,prettytasks,0
1525,экология,0
1526,mac,1
1527,rentalist,1
1528,smartmarket,0
1529,nomobile,0
1530,rubetek,0
1531,splitmetrics,0
1532,metaquotes,1
1533,tapki,1
1534,premmerce,0
1535,dato,0
1536,binary,1
1537,happy,0
1538,district,1
1539,bankrot,1
1540,flamp,0
1541,alternativaplatform,0
1542,profit,0
1543,renderjs,0
1544,wizee,0
1545,irupay,0
1546,кобрендинговый,1
1547,национальный,0
1548,intminds,0
1549,defa,1
1550,futubra,0
1551,свозить,0
1552,айкен,0
1553,ventures,2
1554,хардмастер,0
1555,невсем,0
1556,document,1
1557,coldsnipe,0
1558,lazerto,0
1559,svable,0
1560,нтц,0
1561,вулкан,0
1562,payment,2
1563,cс,2
1564,kyocera,1
1565,mangomag,0
1566,поселок,1
1567,lucky,0
1568,tee,0
1569,agency,1
1570,astrio,1
1571,сюрфо,0
1572,медгаджет,0
1573,monitoring,0
1574,signal,0
1575,бессвязный,0
1576,девелопа,0
1577,up5,0
1578,iphone,0
1579,планета,0
1580,nettle,0
1581,ifube,0
1582,academy,0
1583,soko,0
1584,searchanise,0
1585,uppza,1
1586,ninjamock,0
1587,юнитмобайл,0
1588,пашка,0
1589,робот,0
1590,рик,0
1591,giveaways,0
1592,bipulse,0
1593,monosnap,0
1594,blippex,0
1595,towave,0
1596,idea,1
1597,comerando,0
1598,wins,0
1599,qsoft,0
1600,dr,0
1601,tariff,0
1602,ruholding,0
1603,издание,0
1604,иэмбиси,0
1605,банк,1
1606,ренессанс,1
1607,кредит,1
1608,fbq,0
1609,activecloud,0
1610,fresh,0
1611,factory,0
1612,platform,1
1613,постнаука,0
1614,picktime,0
1615,сумма,0
1616,bughunt,0
1617,komtet,0
1618,техновация,0
1619,кубок,0
1620,flatmania,0
1621,zorka,0
1622,meanwhile,0
1623,play,0
1624,soft,0
1625,carbon,0
1626,вимок,0
1627,prolan,0
1628,point,1
1629,грус,0
1630,sitesecure,0
1631,номер,0
1632,anylanguage,0
1633,креативный,2
1634,tracks,0
1635,mailget,0
1636,tornado,0
1637,rzltt,0
1638,psyproblems,0
1639,biz,1
1640,supl,0
1641,flow,0
1642,урбанизм,0
1643,мышление,2
1644,education,1
1645,lego,1
1646,nektome,0
1647,ericsson,0
1648,cloudlite,0
1649,enjoycss,0
1650,1world,1
1651,гиктаймс,0
1652,webzilla,0
1653,quick,1
1654,resto,0
1655,сметаcloud,0
1656,пин,1
1657,третий,0
1658,conf,0
1659,squeek,0
1660,ile,0
1661,pibox,0
1662,belrr,0
1663,lamoda,0
1664,landata,0
1665,appnestic,0
1666,invent,1
1667,ddosinsurance,0
1668,startad,1
1669,antilatency,0
1670,recovery,0
1671,storelab,0
1672,synology,0
1673,lexy,0
1674,куик,0
1675,процессинг,0
1676,flaby,0
1677,molgav,0
1678,integrator,1
1679,bell,1
1680,инетер,0
1681,концепт,0
1682,вест,0
1683,hashsales,0
1684,brainlook,0
1685,taggy,1
1686,starttospeak,0
1687,fidonet,0
1688,икра,1
1689,anve,0
1690,агентство,1
1691,видеоинтеллект,1
1692,стратегический,1
1693,ооо,1
1694,jarvisjs,0
1695,wallet,1
1696,easy,0
1697,fixico,0
1698,ангел,1
1699,apoi,1
1700,callbackrating,0
1701,techtunnel,0
1702,theron,0
1703,goquests,0
1704,1c,1
1705,smmframe,0
1706,связной,0
1707,экспресс,0
1708,moscowjs,0
