,hab,agglomerative_cluster
352,groovy_grails,1
353,gpgpu,4
354,palitrumlab,12
355,new_professions,8
356,спбау,1
357,продвижение,6
358,mirantis_openstack,1
359,team,4
360,action_script,4
361,kolibrios_project,4
362,smartgadget,2
363,dataline,3
364,carrot_quest,6
365,хосттрекер,5
366,kickidler,9
367,sharepoint,1
368,физика,2
369,кодобред,4
370,логомашина,10
371,айти_лекс,11
372,accessibility,10
373,черный_дыра,2
374,графический_оболочка,4
375,sphinx,2
376,версия_git,9
377,биллинговый,4
378,yota,5
379,internet_explorer,1
380,sendpulse,6
381,вшби_менеджмент,6
382,игровой,6
383,нордавинд,1
384,гк_ланит,9
385,innopolis_university,1
386,science,8
387,engine,4
388,xml,4
389,ipv6,3
390,сервер_молла,3
391,nginx,3
392,лаборатория,4
393,vim,1
394,образование_рубеж,9
395,аудиомания,9
396,журнал_хакер,1
397,доменный_имя,3
398,meteor_js,4
399,vas_experts,3
400,mobio,6
401,eclipse,4
402,спам_антисп,3
403,hexlet,4
404,google_app,4
405,elixir_phoenix,4
406,настольный_компьютер,2
407,мегафон,5
408,yagla,6
409,cbs,3
410,solar_security,2
411,cocoa,7
412,супереон,11
413,studio,11
414,селектел,5
415,работа_иконка,10
416,embarcadero_borland,1
417,io,1
418,нанософт,4
419,samsung,7
420,актив,1
421,mac_os,2
422,sap,1
423,видеокарта_компьютерный,2
424,x,2
425,stepik_org,1
426,regionsoft_developer,11
427,gemalto_russia,2
428,drupal_cms,1
429,headhunter,1
430,office,4
431,technologies,2
432,транспорт_будущее,2
433,powershell,3
434,postgres_professional,1
435,touch_instinct,7
436,hosting_cafe,3
437,dns,3
438,нетология,1
439,одноклассник,1
440,zend_framework,1
441,promwad,1
442,xcode_swift,7
443,локализация_продукт,9
444,diy_сделать,2
445,html_academy,1
446,diop,7
447,papa_buba,7
448,dart,1
449,centrobit,9
450,atlassian,4
451,kanobu_network,1
452,отус,5
453,alee_software,9
454,носить_электроника,2
455,webcanape,9
456,суперкомпьютер,2
457,скб_контур,1
458,фрешдок,11
459,svam_systems,9
460,процессор,2
461,тechmedia,9
462,ts_solution,3
463,secl,1
464,drupal,1
465,регулирование,9
466,яндекс_деньги,9
467,райффайзенбанк,9
468,эфо,4
469,ultima,9
470,russia,3
471,kokoc,12
472,доксвижный,9
473,flyelephant,8
474,альфа-банк,1
475,facebook,4
476,культура,1
477,ciklum,1
478,пилот,12
479,san,3
480,firebird_interbase,4
481,программа_единый,4
482,фронтальный,4
483,euler2012_com,4
484,onlyoffice,1
485,alawar_entertainment,1
486,киберсофт,1
487,me,12
488,pg_day,3
489,pushall,1
490,патентование,9
491,nevosoft,1
492,pdf,1
493,codeorchestra,1
494,gotech_vc,9
495,тechmedia_хабрахабр,2
496,аскон,1
497,ита_гильдия,11
498,компьютерный_анимация,10
499,geekbrains,1
500,enterra,1
501,периферия,2
502,hflabs,2
503,smart_soft,1
504,нтц_метротек,1
505,лайв_тайпинг,1
506,varonis_systems,5
507,rootua_media,1
508,нанотехнология,2
509,scrumtrek,9
510,centric_alliance,8
511,boosta,12
512,dca,8
513,техносерв,3
514,skyeng,1
515,softmart,4
516,электроника_начинающий,2
517,мозг,2
518,sailfish_os,1
519,doctrine_orm,4
520,allcorrect,1
521,зарцын_партнер,9
522,qiwi,2
523,статистика,9
524,собака_павлова,1
525,dental_cloud,9
526,smart_engines,1
527,wunder_fund,1
528,uml_design,4
529,видеотехника,2
530,автомобильный_гаджет,2
531,ооо_цит,4
532,emacs,1
533,анонс,2
534,hola,1
535,smalltalk,1
536,tceh,1
537,haulmont,2
538,twitter,1
539,д,5
540,аладдин_р,5
541,iptelefon,12
542,1с,9
543,fujitsu,5
544,накопитель_компьютерный,2
545,библиотека_extjs,2
546,sencha,2
547,sim_networks,3
548,аркадий,1
549,magento,1
550,forth,1
551,simbirsoft,1
552,i2p,1
553,институт_мфти,9
554,московский_физико-технический,9
555,сектор,9
556,comptek,5
557,softline,5
558,infobip,12
559,ivideon,1
560,rainbow,1
561,ямбокс,12
562,cgi_график,10
563,bitfury,2
564,mesh_сеть,2
565,киберспорт_периферия,0
566,firstvds_firstdedic,5
567,gva,9
568,huawei,5
569,хабрахабр_анонс,2
570,rocket_callback,12
571,краудфандинг_краудсорсинг,1
572,культура_открытый,5
573,cognitive_technologies,2
574,codeigniter,1
575,мультикоптер_робототехника,1
576,brand_analytics,12
577,электронный_правительство,9
578,embox,1
579,omnidesk,9
580,i_free,1
581,apache,3
582,apache_flex,1
583,edge,1
584,astoundcommerce,9
585,superjob,1
586,solidity,2
587,iis,1
588,itsumma,5
589,оболочка,3
590,qrator_labs,5
591,com,2
592,fortran,1
593,офис,9
594,inoventica_services,1
595,derby_js,1
596,мастер_кит,1
597,infobox,5
598,safari,1
599,cloud_platform,4
600,golovachcourses,1
601,лайфхаки_гик,2
602,flashphoner,1
603,ukit,2
604,туту_ру,1
605,latex,1
606,петер,2
607,at_consulting,2
608,naumen,1
609,makeright,9
610,хабрахабр,2
611,здоровье_гик,2
612,infowatch,9
613,mlclass,1
614,црт,5
615,центр_речевой,5
616,geekfamily,1
617,мультикоптер,2
618,онлайн_школа,2
619,calltouch,12
620,englishdom,2
621,devrain_solutions,1
622,greasemonkey,1
623,devtodev_аналитика,12
624,databoom,1
625,uis,5
626,доминанта,1
627,joomla,1
628,matreshka_js,1
629,webo,5
630,дарудар,9
631,emercoin,5
632,умный_дом,2
633,virtuozzo,5
634,инфографика,2
635,звук,2
636,brainfuck,1
637,латер_софтвер,1
638,vuejs,1
639,накопитель,2
640,видеокарта,2
641,ringcloud,9
642,мозг_искусственный,2
643,phalcon,1
644,silverlight,1
645,видео,2
646,unity_technologies,1
647,evernote,1
648,стартапов,9
649,uidg,1
650,вирусдавать,1
651,cashmyvisit,12
652,payler,1
653,zavod,9
654,web_toolkit,1
655,usedesk,9
656,bi_zone,1
657,reg,1
658,iptv,5
659,синезис,2
660,meanotek,1
661,mobileup,1
662,wiki,2
663,сжатие_данный,3
664,gridgain,1
665,школа_goto,1
666,liteorder,12
667,электронный_офисный,2
668,краудсорсинг,2
669,user,1
670,okdesk,9
671,хакспейс_neuron,1
672,raidix,3
673,мтс,5
674,kohana,1
675,kato_im,1
676,hamster_marketplace,9
677,нерепетитор_ру,1
678,stss,5
679,любить_ипать,1
680,triggmine,12
681,эрливидео,2
682,zadarma,9
683,neurodata_lab,1
684,биография_гик,2
685,микроформат,1
686,datawiz_io,1
687,realweb,12
688,lingualeo,1
689,comparex,5
690,turbomilk,2
691,лазер,2
692,сибирикс,1
693,ооо_русый,2
694,pixonic,5
695,redhelper,12
696,fondy,1
697,гк_ртл,2
698,zabbix,5
699,okmeter_io,5
700,московский_биржа,1
701,электронный_коммерция,2
702,мега_accelerator,9
703,монитор_тв,2
704,оборудование,2
705,communications,2
706,jelastic,1
707,withme,9
708,recognitor,1
709,retail_rocket,1
710,chronopay,2
711,advertone,1
712,позвонить,12
713,ivi,2
714,эшелон,1
715,ib,1
716,airbnb,1
717,yadro,1
718,mindbox,1
719,визардс,2
720,онлайн_кинотеатр,2
721,hopox,12
722,witget,12
723,templatemonster_russia,1
724,ibs,5
725,кечинов,2
726,integration,2
727,студия_михаил,2
728,crystal_service,2
729,uprock,1
730,imagecms,1
731,перспективный_мониторинг,1
732,презентация,1
733,phpshop_software,1
734,сквадр_груп,5
735,hero,2
736,zero_to,2
737,научный_фантастика,2
738,wayforpay,1
739,perezvoni_com,12
740,научно-популярный_нанотехнология,2
741,modx_cms,0
742,caspowa,1
743,box_overview,1
744,zimbra,5
745,новый_облачный,1
746,интеллин,1
747,астрономия,2
748,easla_com,9
749,digital,2
750,ultravds,5
751,exante,1
752,ringostat,12
